,Survived,Name,Sex,Age,Embarked
458,1,"Toomey, Miss. Ellen",female,50.0,S
459,0,"O'Connor, Mr. Maurice",male,,Q
460,1,"Anderson, Mr. Harry",male,48.0,S
461,0,"Morley, Mr. William",male,34.0,S
462,0,"Gee, Mr. Arthur H",male,47.0,S
463,0,"Milling, Mr. Jacob Christian",male,48.0,S
464,0,"Maisner, Mr. Simon",male,,S
465,0,"Goncalves, Mr. Manuel Estanslas",male,38.0,S
466,0,"Campbell, Mr. William",male,,S
467,0,"Smart, Mr. John Montgomery",male,56.0,S
468,0,"Scanlan, Mr. James",male,,Q
469,1,"Baclini, Miss. Helene Barbara",female,0.75,C
470,0,"Keefe, Mr. Arthur",male,,S
471,0,"Cacic, Mr. Luka",male,38.0,S
472,1,"West, Mrs. Edwy Arthur (Ada Mary Worth)",female,33.0,S
473,1,"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)",female,23.0,C
474,0,"Strandberg, Miss. Ida Sofia",female,22.0,S
475,0,"Clifford, Mr. George Quincy",male,,S
476,0,"Renouf, Mr. Peter Henry",male,34.0,S
477,0,"Braund, Mr. Lewis Richard",male,29.0,S
478,0,"Karlsson, Mr. Nils August",male,22.0,S
479,1,"Hirvonen, Miss. Hildur E",female,2.0,S
480,0,"Goodwin, Master. Harold Victor",male,9.0,S
481,0,"Frost, Mr. Anthony Wood ""Archie""",male,,S
482,0,"Rouse, Mr. Richard Henry",male,50.0,S
483,1,"Turkula, Mrs. (Hedwig)",female,63.0,S
484,1,"Bishop, Mr. Dickinson H",male,25.0,C
485,0,"Lefebre, Miss. Jeannie",female,,S
486,1,"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",female,35.0,S
487,0,"Kent, Mr. Edward Austin",male,58.0,C
488,0,"Somerton, Mr. Francis William",male,30.0,S
489,1,"Coutts, Master. Eden Leslie ""Neville""",male,9.0,S
490,0,"Hagland, Mr. Konrad Mathias Reiersen",male,,S
491,0,"Windelov, Mr. Einar",male,21.0,S
492,0,"Molson, Mr. Harry Markland",male,55.0,S
493,0,"Artagaveytia, Mr. Ramon",male,71.0,C
494,0,"Stanley, Mr. Edward Roland",male,21.0,S
495,0,"Yousseff, Mr. Gerious",male,,C
496,1,"Eustis, Miss. Elizabeth Mussey",female,54.0,C
497,0,"Shellard, Mr. Frederick William",male,,S
498,0,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",female,25.0,S
499,0,"Svensson, Mr. Olof",male,24.0,S
500,0,"Calic, Mr. Petar",male,17.0,S
501,0,"Canavan, Miss. Mary",female,21.0,Q
502,0,"O'Sullivan, Miss. Bridget Mary",female,,Q
503,0,"Laitinen, Miss. Kristina Sofia",female,37.0,S
504,1,"Maioni, Miss. Roberta",female,16.0,S
505,0,"Penasco y Castellana, Mr. Victor de Satode",male,18.0,C
506,1,"Quick, Mrs. Frederick Charles (Jane Richards)",female,33.0,S
507,1,"Bradley, Mr. George (""George Arthur Brayton"")",male,,S
508,0,"Olsen, Mr. Henry Margido",male,28.0,S
509,1,"Lang, Mr. Fang",male,26.0,S
510,1,"Daly, Mr. Eugene Patrick",male,29.0,Q
511,0,"Webber, Mr. James",male,,S
512,1,"McGough, Mr. James Robert",male,36.0,S
513,1,"Rothschild, Mrs. Martin (Elizabeth L. Barrett)",female,54.0,C
514,0,"Coleff, Mr. Satio",male,24.0,S
515,0,"Walker, Mr. William Anderson",male,47.0,S
516,1,"Lemore, Mrs. (Amelia Milley)",female,34.0,S
517,0,"Ryan, Mr. Patrick",male,,Q
518,1,"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)",female,36.0,S
519,0,"Pavlovic, Mr. Stefo",male,32.0,S
520,1,"Perreault, Miss. Anne",female,30.0,S
521,0,"Vovk, Mr. Janko",male,22.0,S
522,0,"Lahoud, Mr. Sarkis",male,,C
523,1,"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",female,44.0,C
524,0,"Kassem, Mr. Fared",male,,C
525,0,"Farrell, Mr. James",male,40.5,Q
526,1,"Ridsdale, Miss. Lucy",female,50.0,S
527,0,"Farthing, Mr. John",male,,S
528,0,"Salonen, Mr. Johan Werner",male,39.0,S
529,0,"Hocking, Mr. Richard George",male,23.0,S
530,1,"Quick, Miss. Phyllis May",female,2.0,S
531,0,"Toufik, Mr. Nakli",male,,C
532,0,"Elias, Mr. Joseph Jr",male,17.0,C
533,1,"Peter, Mrs. Catherine (Catherine Rizk)",female,,C
534,0,"Cacic, Miss. Marija",female,30.0,S
535,1,"Hart, Miss. Eva Miriam",female,7.0,S
536,0,"Butt, Major. Archibald Willingham",male,45.0,S
537,1,"LeRoy, Miss. Bertha",female,30.0,C
538,0,"Risien, Mr. Samuel Beard",male,,S
539,1,"Frolicher, Miss. Hedwig Margaritha",female,22.0,C
540,1,"Crosby, Miss. Harriet R",female,36.0,S
541,0,"Andersson, Miss. Ingeborg Constanzia",female,9.0,S
542,0,"Andersson, Miss. Sigrid Elisabeth",female,11.0,S
543,1,"Beane, Mr. Edward",male,32.0,S
544,0,"Douglas, Mr. Walter Donald",male,50.0,C
545,0,"Nicholson, Mr. Arthur Ernest",male,64.0,S
546,1,"Beane, Mrs. Edward (Ethel Clarke)",female,19.0,S
547,1,"Padro y Manent, Mr. Julian",male,,C
548,0,"Goldsmith, Mr. Frank John",male,33.0,S
549,1,"Davies, Master. John Morgan Jr",male,8.0,S
550,1,"Thayer, Mr. John Borland Jr",male,17.0,C
551,0,"Sharp, Mr. Percival James R",male,27.0,S
552,0,"O'Brien, Mr. Timothy",male,,Q
553,1,"Leeni, Mr. Fahim (""Philip Zenni"")",male,22.0,C
554,1,"Ohman, Miss. Velin",female,22.0,S
555,0,"Wright, Mr. George",male,62.0,S
556,1,"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",female,48.0,C
557,0,"Robbins, Mr. Victor",male,,C
558,1,"Taussig, Mrs. Emil (Tillie Mandelbaum)",female,39.0,S
559,1,"de Messemaeker, Mrs. Guillaume Joseph (Emma)",female,36.0,S
560,0,"Morrow, Mr. Thomas Rowan",male,,Q
561,0,"Sivic, Mr. Husein",male,40.0,S
562,0,"Norman, Mr. Robert Douglas",male,28.0,S
563,0,"Simmons, Mr. John",male,,S
564,0,"Meanwell, Miss. (Marion Ogden)",female,,S
565,0,"Davies, Mr. Alfred J",male,24.0,S
566,0,"Stoytcheff, Mr. Ilia",male,19.0,S
567,0,"Palsson, Mrs. Nils (Alma Cornelia Berglund)",female,29.0,S
568,0,"Doharr, Mr. Tannous",male,,C
569,1,"Jonsson, Mr. Carl",male,32.0,S
570,1,"Harris, Mr. George",male,62.0,S
571,1,"Appleton, Mrs. Edward Dale (Charlotte Lamson)",female,53.0,S
572,1,"Flynn, Mr. John Irwin (""Irving"")",male,36.0,S
573,1,"Kelly, Miss. Mary",female,,Q
574,0,"Rush, Mr. Alfred George John",male,16.0,S
575,0,"Patchett, Mr. George",male,19.0,S
576,1,"Garside, Miss. Ethel",female,34.0,S
577,1,"Silvey, Mrs. William Baird (Alice Munger)",female,39.0,S
578,0,"Caram, Mrs. Joseph (Maria Elias)",female,,C
579,1,"Jussila, Mr. Eiriik",male,32.0,S
580,1,"Christy, Miss. Julie Rachel",female,25.0,S
581,1,"Thayer, Mrs. John Borland (Marian Longstreth Morris)",female,39.0,C
582,0,"Downton, Mr. William James",male,54.0,S
583,0,"Ross, Mr. John Hugo",male,36.0,C
584,0,"Paulner, Mr. Uscher",male,,C
585,1,"Taussig, Miss. Ruth",female,18.0,S
586,0,"Jarvis, Mr. John Denzil",male,47.0,S
587,1,"Frolicher-Stehli, Mr. Maxmillian",male,60.0,C
588,0,"Gilinski, Mr. Eliezer",male,22.0,S
589,0,"Murdlin, Mr. Joseph",male,,S
590,0,"Rintamaki, Mr. Matti",male,35.0,S
591,1,"Stephenson, Mrs. Walter Bertram (Martha Eustis)",female,52.0,C
592,0,"Elsbury, Mr. William James",male,47.0,S
593,0,"Bourke, Miss. Mary",female,,Q
594,0,"Chapman, Mr. John Henry",male,37.0,S
595,0,"Van Impe, Mr. Jean Baptiste",male,36.0,S
596,1,"Leitch, Miss. Jessie Wills",female,,S
597,0,"Johnson, Mr. Alfred",male,49.0,S
598,0,"Boulos, Mr. Hanna",male,,C
599,1,"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",male,49.0,C
600,1,"Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)",female,24.0,S
601,0,"Slabenoff, Mr. Petco",male,,S
602,0,"Harrington, Mr. Charles H",male,,S
603,0,"Torber, Mr. Ernst William",male,44.0,S
604,1,"Homer, Mr. Harry (""Mr E Haven"")",male,35.0,C
605,0,"Lindell, Mr. Edvard Bengtsson",male,36.0,S
606,0,"Karaic, Mr. Milan",male,30.0,S
607,1,"Daniel, Mr. Robert Williams",male,27.0,S
608,1,"Laroche, Mrs. Joseph (Juliette Marie Louise Lafargue)",female,22.0,C
609,1,"Shutes, Miss. Elizabeth W",female,40.0,S
610,0,"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",female,39.0,S
611,0,"Jardin, Mr. Jose Neto",male,,S
612,1,"Murphy, Miss. Margaret Jane",female,,Q
613,0,"Horgan, Mr. John",male,,Q
614,0,"Brocklebank, Mr. William Alfred",male,35.0,S
615,1,"Herman, Miss. Alice",female,24.0,S
616,0,"Danbom, Mr. Ernst Gilbert",male,34.0,S
617,0,"Lobb, Mrs. William Arthur (Cordelia K Stanlick)",female,26.0,S
618,1,"Becker, Miss. Marion Louise",female,4.0,S
619,0,"Gavey, Mr. Lawrence",male,26.0,S
620,0,"Yasbeck, Mr. Antoni",male,27.0,C
621,1,"Kimball, Mr. Edwin Nelson Jr",male,42.0,S
622,1,"Nakid, Mr. Sahid",male,20.0,C
623,0,"Hansen, Mr. Henry Damsgaard",male,21.0,S
624,0,"Bowen, Mr. David John ""Dai""",male,21.0,S
625,0,"Sutton, Mr. Frederick",male,61.0,S
626,0,"Kirkland, Rev. Charles Leonard",male,57.0,Q
627,1,"Longley, Miss. Gretchen Fiske",female,21.0,S
628,0,"Bostandyeff, Mr. Guentcho",male,26.0,S
629,0,"O'Connell, Mr. Patrick D",male,,Q
630,1,"Barkworth, Mr. Algernon Henry Wilson",male,80.0,S
631,0,"Lundahl, Mr. Johan Svensson",male,51.0,S
632,1,"Stahelin-Maeglin, Dr. Max",male,32.0,C
633,0,"Parr, Mr. William Henry Marsh",male,,S
634,0,"Skoog, Miss. Mabel",female,9.0,S
635,1,"Davis, Miss. Mary",female,28.0,S
636,0,"Leinonen, Mr. Antti Gustaf",male,32.0,S
637,0,"Collyer, Mr. Harvey",male,31.0,S
638,0,"Panula, Mrs. Juha (Maria Emilia Ojala)",female,41.0,S
639,0,"Thorneycroft, Mr. Percival",male,,S
640,0,"Jensen, Mr. Hans Peder",male,20.0,S
641,1,"Sagesser, Mlle. Emma",female,24.0,C
642,0,"Skoog, Miss. Margit Elizabeth",female,2.0,S
643,1,"Foo, Mr. Choong",male,,S
644,1,"Baclini, Miss. Eugenie",female,0.75,C
645,1,"Harper, Mr. Henry Sleeper",male,48.0,C
646,0,"Cor, Mr. Liudevit",male,19.0,S
647,1,"Simonius-Blumer, Col. Oberst Alfons",male,56.0,C
648,0,"Willey, Mr. Edward",male,,S
649,1,"Stanley, Miss. Amy Zillah Elsie",female,23.0,S
650,0,"Mitkoff, Mr. Mito",male,,S
651,1,"Doling, Miss. Elsie",female,18.0,S
652,0,"Kalvik, Mr. Johannes Halvorsen",male,21.0,S
653,1,"O'Leary, Miss. Hanora ""Norah""",female,,Q
654,0,"Hegarty, Miss. Hanora ""Nora""",female,18.0,Q
655,0,"Hickman, Mr. Leonard Mark",male,24.0,S
656,0,"Radeff, Mr. Alexander",male,,S
657,0,"Bourke, Mrs. John (Catherine)",female,32.0,Q
658,0,"Eitemiller, Mr. George Floyd",male,23.0,S
659,0,"Newell, Mr. Arthur Webster",male,58.0,C
660,1,"Frauenthal, Dr. Henry William",male,50.0,S
661,0,"Badt, Mr. Mohamed",male,40.0,C
662,0,"Colley, Mr. Edward Pomeroy",male,47.0,S
663,0,"Coleff, Mr. Peju",male,36.0,S
664,1,"Lindqvist, Mr. Eino William",male,20.0,S
665,0,"Hickman, Mr. Lewis",male,32.0,S
666,0,"Butler, Mr. Reginald Fenton",male,25.0,S
667,0,"Rommetvedt, Mr. Knud Paust",male,,S
668,0,"Cook, Mr. Jacob",male,43.0,S
669,1,"Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)",female,,S
670,1,"Brown, Mrs. Thomas William Solomon (Elizabeth Catherine Ford)",female,40.0,S
671,0,"Davidson, Mr. Thornton",male,31.0,S
672,0,"Mitchell, Mr. Henry Michael",male,70.0,S
673,1,"Wilhelms, Mr. Charles",male,31.0,S
674,0,"Watson, Mr. Ennis Hastings",male,,S
675,0,"Edvardsson, Mr. Gustaf Hjalmar",male,18.0,S
676,0,"Sawyer, Mr. Frederick Charles",male,24.5,S
677,1,"Turja, Miss. Anna Sofia",female,18.0,S
678,0,"Goodwin, Mrs. Frederick (Augusta Tyler)",female,43.0,S
679,1,"Cardeza, Mr. Thomas Drake Martinez",male,36.0,C
680,0,"Peters, Miss. Katie",female,,Q
681,1,"Hassab, Mr. Hammad",male,27.0,C
682,0,"Olsvigen, Mr. Thor Anderson",male,20.0,S
683,0,"Goodwin, Mr. Charles Edward",male,14.0,S
684,0,"Brown, Mr. Thomas William Solomon",male,60.0,S
685,0,"Laroche, Mr. Joseph Philippe Lemercier",male,25.0,C
686,0,"Panula, Mr. Jaako Arnold",male,14.0,S
687,0,"Dakic, Mr. Branko",male,19.0,S
688,0,"Fischer, Mr. Eberhard Thelander",male,18.0,S
689,1,"Madill, Miss. Georgette Alexandra",female,15.0,S
690,1,"Dick, Mr. Albert Adrian",male,31.0,S
691,1,"Karun, Miss. Manca",female,4.0,C
692,1,"Lam, Mr. Ali",male,,S
693,0,"Saad, Mr. Khalil",male,25.0,C
694,0,"Weir, Col. John",male,60.0,S
695,0,"Chapman, Mr. Charles Henry",male,52.0,S
696,0,"Kelly, Mr. James",male,44.0,S
697,1,"Mullens, Miss. Katherine ""Katie""",female,,Q
698,0,"Thayer, Mr. John Borland",male,49.0,C
699,0,"Humblen, Mr. Adolf Mathias Nicolai Olsen",male,42.0,S
700,1,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)",female,18.0,C
701,1,"Silverthorne, Mr. Spencer Victor",male,35.0,S
702,0,"Barbara, Miss. Saiide",female,18.0,C
703,0,"Gallagher, Mr. Martin",male,25.0,Q
704,0,"Hansen, Mr. Henrik Juul",male,26.0,S
705,0,"Morley, Mr. Henry Samuel (""Mr Henry Marshall"")",male,39.0,S
706,1,"Kelly, Mrs. Florence ""Fannie""",female,45.0,S
707,1,"Calderhead, Mr. Edward Pennington",male,42.0,S
708,1,"Cleaver, Miss. Alice",female,22.0,S
709,1,"Moubarek, Master. Halim Gonios (""William George"")",male,,C
710,1,"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",female,24.0,C
711,0,"Klaber, Mr. Herman",male,,S
712,1,"Taylor, Mr. Elmer Zebley",male,48.0,S
713,0,"Larsson, Mr. August Viktor",male,29.0,S
714,0,"Greenberg, Mr. Samuel",male,52.0,S
715,0,"Soholt, Mr. Peter Andreas Lauritz Andersen",male,19.0,S
716,1,"Endres, Miss. Caroline Louise",female,38.0,C
717,1,"Troutt, Miss. Edwina Celia ""Winnie""",female,27.0,S
718,0,"McEvoy, Mr. Michael",male,,Q
719,0,"Johnson, Mr. Malkolm Joackim",male,33.0,S
720,1,"Harper, Miss. Annie Jessie ""Nina""",female,6.0,S
721,0,"Jensen, Mr. Svend Lauritz",male,17.0,S
722,0,"Gillespie, Mr. William Henry",male,34.0,S
723,0,"Hodges, Mr. Henry Price",male,50.0,S
724,1,"Chambers, Mr. Norman Campbell",male,27.0,S
725,0,"Oreskovic, Mr. Luka",male,20.0,S
726,1,"Renouf, Mrs. Peter Henry (Lillian Jefferys)",female,30.0,S
727,1,"Mannion, Miss. Margareth",female,,Q
728,0,"Bryhl, Mr. Kurt Arnold Gottfrid",male,25.0,S
729,0,"Ilmakangas, Miss. Pieta Sofia",female,25.0,S
730,1,"Allen, Miss. Elisabeth Walton",female,29.0,S
731,0,"Hassan, Mr. Houssein G N",male,11.0,C
732,0,"Knight, Mr. Robert J",male,,S
733,0,"Berriman, Mr. William John",male,23.0,S
734,0,"Troupiansky, Mr. Moses Aaron",male,23.0,S
735,0,"Williams, Mr. Leslie",male,28.5,S
736,0,"Ford, Mrs. Edward (Margaret Ann Watson)",female,48.0,S
737,1,"Lesurer, Mr. Gustave J",male,35.0,C
738,0,"Ivanoff, Mr. Kanio",male,,S
739,0,"Nankoff, Mr. Minko",male,,S
740,1,"Hawksford, Mr. Walter James",male,,S
741,0,"Cavendish, Mr. Tyrell William",male,36.0,S
742,1,"Ryerson, Miss. Susan Parker ""Suzette""",female,21.0,C
743,0,"McNamee, Mr. Neal",male,24.0,S
744,1,"Stranden, Mr. Juho",male,31.0,S
745,0,"Crosby, Capt. Edward Gifford",male,70.0,S
746,0,"Abbott, Mr. Rossmore Edward",male,16.0,S
747,1,"Sinkkonen, Miss. Anna",female,30.0,S
748,0,"Marvin, Mr. Daniel Warner",male,19.0,S
749,0,"Connaghton, Mr. Michael",male,31.0,Q
750,1,"Wells, Miss. Joan",female,4.0,S
751,1,"Moor, Master. Meier",male,6.0,S
752,0,"Vande Velde, Mr. Johannes Joseph",male,33.0,S
753,0,"Jonkoff, Mr. Lalio",male,23.0,S
754,1,"Herman, Mrs. Samuel (Jane Laver)",female,48.0,S
755,1,"Hamalainen, Master. Viljo",male,0.67,S
756,0,"Carlsson, Mr. August Sigfrid",male,28.0,S
757,0,"Bailey, Mr. Percy Andrew",male,18.0,S
758,0,"Theobald, Mr. Thomas Leonard",male,34.0,S
759,1,"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)",female,33.0,S
760,0,"Garfirth, Mr. John",male,,S
761,0,"Nirva, Mr. Iisakki Antino Aijo",male,41.0,S
762,1,"Barah, Mr. Hanna Assi",male,20.0,C
763,1,"Carter, Mrs. William Ernest (Lucile Polk)",female,36.0,S
764,0,"Eklund, Mr. Hans Linus",male,16.0,S
765,1,"Hogeboom, Mrs. John C (Anna Andrews)",female,51.0,S
766,0,"Brewe, Dr. Arthur Jackson",male,,C
767,0,"Mangan, Miss. Mary",female,30.5,Q
768,0,"Moran, Mr. Daniel J",male,,Q
769,0,"Gronnestad, Mr. Daniel Danielsen",male,32.0,S
770,0,"Lievens, Mr. Rene Aime",male,24.0,S
771,0,"Jensen, Mr. Niels Peder",male,48.0,S
772,0,"Mack, Mrs. (Mary)",female,57.0,S
773,0,"Elias, Mr. Dibo",male,,C
774,1,"Hocking, Mrs. Elizabeth (Eliza Needs)",female,54.0,S
775,0,"Myhrman, Mr. Pehr Fabian Oliver Malkolm",male,18.0,S
776,0,"Tobin, Mr. Roger",male,,Q
777,1,"Emanuel, Miss. Virginia Ethel",female,5.0,S
778,0,"Kilgannon, Mr. Thomas J",male,,Q
779,1,"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",female,43.0,S
780,1,"Ayoub, Miss. Banoura",female,13.0,C
781,1,"Dick, Mrs. Albert Adrian (Vera Gillespie)",female,17.0,S
782,0,"Long, Mr. Milton Clyde",male,29.0,S
783,0,"Johnston, Mr. Andrew G",male,,S
784,0,"Ali, Mr. William",male,25.0,S
785,0,"Harmer, Mr. Abraham (David Lishin)",male,25.0,S
786,1,"Sjoblom, Miss. Anna Sofia",female,18.0,S
787,0,"Rice, Master. George Hugh",male,8.0,Q
788,1,"Dean, Master. Bertram Vere",male,1.0,S
789,0,"Guggenheim, Mr. Benjamin",male,46.0,C
790,0,"Keane, Mr. Andrew ""Andy""",male,,Q
791,0,"Gaskell, Mr. Alfred",male,16.0,S
792,0,"Sage, Miss. Stella Anna",female,,S
793,0,"Hoyt, Mr. William Fisher",male,,C
794,0,"Dantcheff, Mr. Ristiu",male,25.0,S
795,0,"Otter, Mr. Richard",male,39.0,S
796,1,"Leader, Dr. Alice (Farnham)",female,49.0,S
797,1,"Osman, Mrs. Mara",female,31.0,S
798,0,"Ibrahim Shawah, Mr. Yousseff",male,30.0,C
799,0,"Van Impe, Mrs. Jean Baptiste (Rosalie Paula Govaert)",female,30.0,S
800,0,"Ponesell, Mr. Martin",male,34.0,S
801,1,"Collyer, Mrs. Harvey (Charlotte Annie Tate)",female,31.0,S
802,1,"Carter, Master. William Thornton II",male,11.0,S
803,1,"Thomas, Master. Assad Alexander",male,0.42,C
804,1,"Hedman, Mr. Oskar Arvid",male,27.0,S
805,0,"Johansson, Mr. Karl Johan",male,31.0,S
806,0,"Andrews, Mr. Thomas Jr",male,39.0,S
807,0,"Pettersson, Miss. Ellen Natalia",female,18.0,S
808,0,"Meyer, Mr. August",male,39.0,S
809,1,"Chambers, Mrs. Norman Campbell (Bertha Griggs)",female,33.0,S
810,0,"Alexander, Mr. William",male,26.0,S
811,0,"Lester, Mr. James",male,39.0,S
812,0,"Slemen, Mr. Richard James",male,35.0,S
813,0,"Andersson, Miss. Ebba Iris Alfrida",female,6.0,S
814,0,"Tomlin, Mr. Ernest Portage",male,30.5,S
815,0,"Fry, Mr. Richard",male,,S
816,0,"Heininen, Miss. Wendla Maria",female,23.0,S
817,0,"Mallet, Mr. Albert",male,31.0,C
818,0,"Holm, Mr. John Fredrik Alexander",male,43.0,S
819,0,"Skoog, Master. Karl Thorsten",male,10.0,S
820,1,"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",female,52.0,S
821,1,"Lulic, Mr. Nikola",male,27.0,S
822,0,"Reuchlin, Jonkheer. John George",male,38.0,S
823,1,"Moor, Mrs. (Beila)",female,27.0,S
824,0,"Panula, Master. Urho Abraham",male,2.0,S
825,0,"Flynn, Mr. John",male,,Q
826,0,"Lam, Mr. Len",male,,S
827,1,"Mallet, Master. Andre",male,1.0,C
828,1,"McCormack, Mr. Thomas Joseph",male,,Q
829,1,"Stone, Mrs. George Nelson (Martha Evelyn)",female,62.0,
830,1,"Yasbeck, Mrs. Antoni (Selini Alexander)",female,15.0,C
831,1,"Richards, Master. George Sibley",male,0.83,S
832,0,"Saad, Mr. Amin",male,,C
833,0,"Augustsson, Mr. Albert",male,23.0,S
834,0,"Allum, Mr. Owen George",male,18.0,S
835,1,"Compton, Miss. Sara Rebecca",female,39.0,C
836,0,"Pasic, Mr. Jakob",male,21.0,S
837,0,"Sirota, Mr. Maurice",male,,S
838,1,"Chip, Mr. Chang",male,32.0,S
839,1,"Marechal, Mr. Pierre",male,,C
840,0,"Alhomaki, Mr. Ilmari Rudolf",male,20.0,S
841,0,"Mudd, Mr. Thomas Charles",male,16.0,S
842,1,"Serepeca, Miss. Augusta",female,30.0,C
843,0,"Lemberopolous, Mr. Peter L",male,34.5,C
844,0,"Culumovic, Mr. Jeso",male,17.0,S
845,0,"Abbing, Mr. Anthony",male,42.0,S
846,0,"Sage, Mr. Douglas Bullen",male,,S
847,0,"Markoff, Mr. Marin",male,35.0,C
848,0,"Harper, Rev. John",male,28.0,S
849,1,"Goldenberg, Mrs. Samuel L (Edwiga Grabowska)",female,,C
850,0,"Andersson, Master. Sigvard Harald Elias",male,4.0,S
851,0,"Svensson, Mr. Johan",male,74.0,S
852,0,"Boulos, Miss. Nourelain",female,9.0,C
853,1,"Lines, Miss. Mary Conover",female,16.0,S
854,0,"Carter, Mrs. Ernest Courtenay (Lilian Hughes)",female,44.0,S
855,1,"Aks, Mrs. Sam (Leah Rosen)",female,18.0,S
856,1,"Wick, Mrs. George Dennick (Mary Hitchcock)",female,45.0,S
857,1,"Daly, Mr. Peter Denis ",male,51.0,S
858,1,"Baclini, Mrs. Solomon (Latifa Qurban)",female,24.0,C
859,0,"Razi, Mr. Raihed",male,,C
860,0,"Hansen, Mr. Claus Peter",male,41.0,S
861,0,"Giles, Mr. Frederick Edward",male,21.0,S
862,1,"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",female,48.0,S
863,0,"Sage, Miss. Dorothy Edith ""Dolly""",female,,S
864,0,"Gill, Mr. John William",male,24.0,S
865,1,"Bystrom, Mrs. (Karolina)",female,42.0,S
866,1,"Duran y More, Miss. Asuncion",female,27.0,C
867,0,"Roebling, Mr. Washington Augustus II",male,31.0,S
868,0,"van Melkebeke, Mr. Philemon",male,,S
869,1,"Johnson, Master. Harold Theodor",male,4.0,S
870,0,"Balkic, Mr. Cerin",male,26.0,S
871,1,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",female,47.0,S
872,0,"Carlsson, Mr. Frans Olof",male,33.0,S
873,0,"Vander Cruyssen, Mr. Victor",male,47.0,S
874,1,"Abelson, Mrs. Samuel (Hannah Wizosky)",female,28.0,C
875,1,"Najib, Miss. Adele Kiamie ""Jane""",female,15.0,C
876,0,"Gustafsson, Mr. Alfred Ossian",male,20.0,S
877,0,"Petroff, Mr. Nedelio",male,19.0,S
878,0,"Laleff, Mr. Kristo",male,,S
879,1,"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",female,56.0,C
880,1,"Shelley, Mrs. William (Imanita Parrish Hall)",female,25.0,S
881,0,"Markun, Mr. Johann",male,33.0,S
882,0,"Dahlberg, Miss. Gerda Ulrika",female,22.0,S
883,0,"Banfield, Mr. Frederick James",male,28.0,S
884,0,"Sutehall, Mr. Henry Jr",male,25.0,S
885,0,"Rice, Mrs. William (Margaret Norton)",female,39.0,Q
886,0,"Montvila, Rev. Juozas",male,27.0,S
887,1,"Graham, Miss. Margaret Edith",female,19.0,S
888,0,"Johnston, Miss. Catherine Helen ""Carrie""",female,,S
889,1,"Behr, Mr. Karl Howell",male,26.0,C
890,0,"Dooley, Mr. Patrick",male,32.0,Q
